country,crop,year_2022,actual_yield_2022,year_2023,predicted_yield_2023,,,
Azerbaijan,Rye,2022,1886.2,2023,1910.804338,,,
Azerbaijan,"Seed cotton, unginned",2022,3094,2023,3033.863682,,,
Azerbaijan,Sorghum,2022,2069.9,2023,3146.390702,,,
Azerbaijan,Sour cherries,2022,7978.2,2023,8149.291673,,,
Azerbaijan,Soya beans,2022,556,2023,640.1968092,,,
Azerbaijan,Sugar beet,2022,44159.5,2023,39000.02234,,,
Azerbaijan,Sunflower seed,2022,2455.6,2023,2497.538184,,,
Azerbaijan,"Tangerines, mandarins, clementines",2022,24144.8,2023,28315.87158,,,
Azerbaijan,Watermelons,2022,25469,2023,27498.26431,,,
Azerbaijan,Wheat,2022,3111.3,2023,3559.23005,,,
Azerbaijan,"Roots and Tubers, Total",2022,19612,2023,18245.51232,,,
Azerbaijan,"Treenuts, Total",2022,1548,2023,1731.045411,,,
Azerbaijan,Vegetables Primary,2022,27927.5,2023,29672.3561,,,
Bahamas,Avocados,2022,12838.3,2023,12828.82073,,,
Bahamas,Bananas,2022,23746.7,2023,23816.08502,,,
Bahamas,"Coconuts, in shell",2022,7905.7,2023,8756.178339,,,
Bahamas,Lemons and limes,2022,12732.9,2023,13808.65625,,,
Bahamas,Maize (corn),2022,7424.3,2023,7618.333233,,,
Bahamas,"Mangoes, guavas and mangosteens",2022,17891.5,2023,17659.40289,,,
Bahamas,Oranges,2022,22782.3,2023,21197.85532,,,
Bahamas,"Other tropical fruits, n.e.c.",2022,6922.8,2023,6380.660338,,,
Bahamas,Papayas,2022,15918.2,2023,16621.21496,,,
Bahamas,"Pigeon peas, dry",2022,1477.2,2023,1573.413211,,,
Bahamas,Plantains and cooking bananas,2022,7614.8,2023,8962.898223,,,
Bahamas,Pomelos and grapefruits,2022,41526,2023,38672.36279,,,
Bahamas,Sugar cane,2022,24907.9,2023,28004.46678,,,
Bahamas,"Tangerines, mandarins, clementines",2022,17606.5,2023,20145.0799,,,
Bahamas,"Roots and Tubers, Total",2022,4705.4,2023,5620.772358,,,
Bahamas,Vegetables Primary,2022,9449.9,2023,10712.79373,,,
Bahrain,Cantaloupes and other melons,2022,55961.6,2023,56857.02558,,,
Bahrain,Dates,2022,5525.6,2023,5356.401597,,,
Bahrain,Grapes,2022,3128.8,2023,3502.48638,,,
Bahrain,Lemons and limes,2022,12485.4,2023,12834.97916,,,
Bahrain,"Other fruits, n.e.c.",2022,7727.9,2023,8012.087413,,,
Bahrain,Other pulses n.e.c.,2022,949.9,2023,1098.520746,,,
Bahrain,Watermelons,2022,69739.8,2023,66392.43953,,,
Bahrain,"Roots and Tubers, Total",2022,32694.2,2023,30545.39079,,,
Bahrain,"Treenuts, Total",2022,2079,2023,2079.003795,,,
Bahrain,Vegetables Primary,2022,63373.6,2023,60237.66759,,,
Bangladesh,Bananas,2022,16653.8,2023,16290.80778,,,
Bangladesh,Barley,2022,939.9,2023,934.5401857,,,
Bangladesh,"Beans, dry",2022,920.6,2023,1069.596727,,,
Bangladesh,Cantaloupes and other melons,2022,21760.6,2023,22826.27081,,,
Bangladesh,Castor oil seeds,2022,708.4,2023,834.7428456,,,
Bangladesh,"Chick peas, dry",2022,1117.9,2023,1137.589563,,,
Bangladesh,"Coconuts, in shell",2022,13751.1,2023,13964.37198,,,
Bangladesh,"Groundnuts, excluding shelled",2022,1856.3,2023,1972.489375,,,
Bangladesh,"Jute, raw or retted",2022,2120.2,2023,2539.050172,,,
Bangladesh,"Kenaf, and other textile bast fibres, raw or retted",2022,3322.8,2023,2767.394422,,,
Bangladesh,Lemons and limes,2022,1711.6,2023,1631.715193,,,
Bangladesh,"Lentils, dry",2022,1320.4,2023,1320.725449,,,
Bangladesh,Linseed,2022,719.7,2023,835.1570148,,,
Bangladesh,Maize (corn),2022,8911.8,2023,7979.045112,,,
Bangladesh,"Mangoes, guavas and mangosteens",2022,10438.3,2023,11899.8706,,,
Bangladesh,Millet,2022,1130.1,2023,1208.888377,,,
Bangladesh,Oranges,2022,4011.3,2023,4217.513262,,,
Bangladesh,Other berries and fruits of the genus vaccinium n.e.c.,2022,4178.5,2023,4808.441422,,,
Bangladesh,"Other fibre crops, raw, n.e.c.",2022,208.3,2023,260.3234656,,,
Bangladesh,"Other fruits, n.e.c.",2022,9570.5,2023,8210.926262,,,
Bangladesh,"Other oil seeds, n.e.c.",2022,1285.6,2023,956.2210936,,,
Bangladesh,Other pulses n.e.c.,2022,1130.9,2023,1091.933982,,,
Bangladesh,Other sugar crops n.e.c.,2022,23598.4,2023,23162.96981,,,
